абиссинцы - населения Эфиопии {населения}
перст - Палец руки {Палец}
перфект - время глаголов {время}
перцепция - отражение действительности {отражение}
першерон - Порода лошадей {Порода}
песенник - Исполнитель песен {Исполнитель}
песета - единица Испании {единица}
пескоройка - Личинка миноги {Личинка}
песня - произведение птиц {произведение}
песо - единица ряда {единица}
песчинка - Крупинка песка {Крупинка}
петрография - Раздел геологии {Раздел}
петух - Самец курицы {Самец}
пехотинец - Боец пехоты {Боец}
печаль - Чувство грусти {Чувство}
печенеги - Союз племен {Союз}
печень - железа человека {железа}
пи - Отношение длины {Отношение}
пианизм - Искусство игры {Искусство}
пиастр - единица Турции {единица}
пивоварение - Изготовление пива {Изготовление}
пигментация - Окраска тканей {Окраска}
пиетизм - протестантов Германии {протестантов}
пиетист - Сторонник пиетизма {Сторонник}
пижонство - Поведение пижона {Поведение}
пикадор - Участник боя {Участник}
пикет - отряд бастующих {отряд}
пикет - Точка местности {Точка}
пикетаж - Выбор точек {Выбор}
пилотаж - Искусство управления {Искусство}
пимокат - валяльщик пимов {валяльщик}
пимы - сапоги Сибири {сапоги}
пинакотека - Хранилище произведений {Хранилище}
пинта - Единица измерения {Единица}
пионерия - Пионеры (см {Пионеры}
пипка - трубка шланга {трубка}
пиратство - Занятие пирата {Занятие}
пиротехника - Отрасль техники {Отрасль}
писарство - Занятие писаря {Занятие}
писательство - Занятие писателя {Занятие}
письмена - знаки буквы {знаки}
письмовник - Сборник образцов {Сборник}
письмоводитель - Служащий канцелярии {Служащий}
пищуха - птица отряда {птица}
плав - состоянии плавания {состоянии}
плавник - Обломки деревьев {Обломки}
плавник - Орган передвижения {Орган}
плагиаторство - Занятие плагиатора {Занятие}
планеризм - Искусство летания {Искусство}
планетология - Комплекс наук {Комплекс}
плантаж - перекапывание почвы {перекапывание}
плантатор - Владелец плантации {Владелец}
плантаторство - Занятие плантатора {Занятие}
пласт - слой чего {слой}
пластика - Искусство создания {Искусство}
пластина - полоса какого {полоса}
платинит - Сплав железа {Сплав}
платок - Кусок ткани {Кусок}
плаха - Кусок бревна {Кусок}
плашка - кусок дерева {кусок}
плебейство - Плебеи (в {Плебеи}
плевок - сгусток слюны {сгусток}
плеврит - Воспаление плевры {Воспаление}
племя - объединение людей {объединение}
племянник - Сын брата {Сын}
племянница - Дочь брата {Дочь}
плен - Положение кого {Положение}
плеоназм - Оборот речи {Оборот}
плес - Участок реки {Участок}
плешивость - Наличие плеши {Наличие}
плод - Орган растения {Орган}
плодоводство - Отрасль растениеводства {Отрасль}
плодородие - Способность (почвы {Способность}
плодосбор - Сбор плодов {Сбор}
плодосмен - система земледелия {система}
плоскостопие - недостаток ноги {недостаток}
плот - рядов бревна {рядов}
плотбище - Место заготовки {Место}
площадка - участок земли {участок}
плюралист - Последователь плюрализма {Последователь}
плюсование - Пропитывание (ткани {Пропитывание}
пневмония - Воспаление легких {Воспаление}
побег - стебель растения {стебель}
побежалость - окраска поверхности {окраска}
побережье - Полоса земли {Полоса}
побратимство - обычай закрепления {обычай}
поведение - Образ действий {Образ}
повертка","поверток - Поворот дороги {Поворот}
поверхность - сторона чего {сторона}
повойник - убор русских {убор}
повстанец - Участник восстания {Участник}
повстанчество - Борьба действия {Борьба}
повторяемость - Наличие повторений {Наличие}
повытчик - Служитель канцелярии {Служитель}
повязка - кусок ткани {кусок}
погода - Состояние атмосферы {Состояние}
поголовье - число голов {число}
погоны - знаки различия {знаки}
погоня - Преследование кого {Преследование}
пограничник - Военнослужащий войск {Военнослужащий}
погрыз - Следы зубов {Следы}
подагра - Болезнь суставов {Болезнь}
подачка - Кусок еды {Кусок}
подведомственность - Отнесение дел {Отнесение}
подвид - подразделений вида {подразделений}
подвижничество - Образ жизни {Образ}
подгорье - склон горы {склон}
подготовленность - Наличие запаса {Наличие}
подгруппа - Подразделение группы {Подразделение}
подданство - Принадлежность лица {Принадлежность}
поддев - ловли рыбы {ловли}
поддевка - одежда род {одежда}
поддон - дно чего {дно}
поденка - насекомое продолжительность {насекомое}
поджог - учинение пожара {учинение}
подкласс - Подразделение класса {Подразделение}
подколенки - сторона колен {сторона}
подкомиссия - Группа лиц {Группа}
подкомитет - Группа лиц {Группа}
подкрылье - сторона крыла {сторона}
подлежащее - член предложения {член}
подлекарь - Помощник лекаря {Помощник}
подлисок - лисица лисицы {лисица}
подлокотник - Ручка кресла {Ручка}
подмастерье - Подручный мастера {Подручный}
подмышник - Кусок ткани {Кусок}
подноготная - обстоятельства подробности {обстоятельства}
подол - край какого {край}
подонки - Остатки жидкости {Остатки}
подоснова - основа чего {основа}
подотряд - Подразделение отряда {Подразделение}
подпасок - Помощник пастуха {Помощник}
подпитие - состоянии опьянения {состоянии}
подплетина - нить основы {нить}
подражательство - Следование каким {Следование}
подрясник - одежда священнослужителей {одежда}
подсемейство - Подразделение семейства {Подразделение}
подстрочник - перевод какого {перевод}
подтекст - смысл какого {смысл}
подтекстовка - Сочинение текста {Сочинение}
подтоварник - бревна жерди {бревна}
подторжье - Канун ярмарки {Канун}
подхалимство - Поведение подхалима {Поведение}
подхорунжий - чин подпрапорщика {чин}
подчасок - Помощник часового {Помощник}
подшкипер - Помощник шкипера {Помощник}
подштурман - Помощник штурмана {Помощник}
подъесаул - чин штабс-капитана {чин}
поза - Положение тела {Положение}
позерство - Поведение позера {Поведение}
позитивист - Последователь позитивизма {Последователь}
позитрон - частица вещества {частица}
позиция - Положение тела {Положение}
позолота - слой золота {слой}
позыв - Ощущение какой {Ощущение}
показуха - знач действия {знач}
поклевка - клев рыбы {клев}
поклон - Наклонение головы {Наклонение}
покой - Отсутствие движения {Отсутствие}
покой - буквы «п {буквы}
покойник - Умерший человек {Умерший}
поколение - Совокупность людей {Совокупность}
покрик - крик (зверя {крик}
покромка - Полоска края {Полоска}
покрывало - Кусок ткани {Кусок}
пол - Совокупность признаков {Совокупность}
пол-литра - Половина литра {Половина}
пол-оборота - Половина оборота {Половина}
полбутылки - Половина бутылки {Половина}
полвека - Половина века {Половина}
полвзвода - Половина взвода {Половина}
полводы - Участок реки {Участок}
полгода - Половина года {Половина}
полдела - Половина дела {Половина}
полдень - Середина дня {Середина}
полдня - Половина дня {Половина}
полдороги - Половина дороги {Половина}
полдюжины - Половина дюжины {Половина}
полегаемость - Наличие полегания {Наличие}
полегание - Пригибание стеблей {Пригибание}
полено - кусок ствола {кусок}
полетность - Наличие полета {Наличие}
полетчик - Артист цирка {Артист}
полжизни - Половина жизни {Половина}
полиграфия - Отрасль техники {Отрасль}
полимеризация - Процесс получения {Процесс}
полимеры - Вещества молекулы {Вещества}
полиплоидия - увеличение числа {увеличение}
политеист - Последователь политеизма {Последователь}
политехнизм - Система обучения {Система}
политипаж - Отпечаток гравюры {Отпечаток}
политотделец - Работник политотдела {Работник}
политпросвет - учреждений органов {учреждений}
политучеба - Изучение марксизма {Изучение}
полихромия - Многоцветность произведений {Многоцветность}
полиция - орган милиции {орган}
полицмейстер","полицеймейстер - Начальник полиции {Начальник}
полковник - звание полка {звание}
полковница - Жена полковника {Жена}
полкольца - Половина кольца {Половина}
полкруга - Половина круга {Половина}
поллитровка - бутылка (водки {бутылка}
поллюция - истечение семени {истечение}
полмесяца - Половина месяца {Половина}
полмира - Половина мира {Половина}
полноводье - уровень воды {уровень}
полногласие - языков сочетания {языков}
полнокровие - Увеличение массы {Увеличение}
полнолуние - фаз Луны {фаз}
полночи - Половина ночи {Половина}
полночь - Середина ночи {Середина}
половина - целое частей {целое}
половодье - Разлив реки {Разлив}
полоз - частей саней {частей}
полоса - кусок чего {кусок}
полотнище - Кусок ткани {Кусок}
полпредство - представительство СССР {представительство}
полпути - Половина пути {Половина}
полроты - Половина роты {Половина}
полслова - Половина слова {Половина}
полсотни - Половина сотни {Половина}
полсуток - Половина суток {Половина}
полувзвод - Половина взвода {Половина}
полугодие - Промежуток времени {Промежуток}
полудуга - половины дуги {половины}
полудужье - половины дуги {половины}
полузащитник - Игрок полузащиты {Игрок}
полуимя - имя какого {имя}
полукольцо - половины кольца {половины}
полумасса - Масса волокна {Масса}
полумесяц - диск луны {диск}
полуобезьяны - Млекопитающие отряда {Млекопитающие}
полуоборот - Поворот туловища {Поворот}
полурота - Половина роты {Половина}
полусвет - среда женщин {среда}
полусмерть - До полусмерти# {До}
полусотня - Половина сотни {Половина}
полустолетие - Промежуток времени {Промежуток}
полуэскадрон - Половина эскадрона {Половина}
полчаса - Половина часа {Половина}
полшара - Половина шара {Половина}
полюс - Точка пересечения {Точка}
полярография - метод определения {метод}
поместье - владение помещика {владение}
помета - знак слова {знак}
помеха - кто чему {кто}
помешательство - Потеря рассудка {Потеря}
помидорина - плод помидора {плод}
помол - Превращение зерна {Превращение}
помолвка - Обряд объявления {Обряд}
поморник - Птица отряда {Птица}
поморы - население побережья {население}
поморяне - Жители поморья {Жители}
понос - Расстройство деятельности {Расстройство}
попадья - Жена попа {Жена}
попечительство - Система мероприятий {Система}
попка - части тела {части}
поплавок - Кусок пробки {Кусок}
поползень - птичка отряда {птичка}
попрошайничество - Собирание милостыни {Собирание}
популяция - Совокупность особей {Совокупность}
пора' - Время дня {Время}
пораженец - Сторонник пораженчества {Сторонник}
порок - недостаток уродство {недостаток}
поросенок - Детеныш свиньи {Детеныш}
поросль - побеги растений {побеги}
поросятина - Мясо поросенка {Мясо}
порошинка - крупинка пороха {крупинка}
портье - Служащий гостиницы {Служащий}
портянки - Куски ткани {Куски}
поручительство - Ручательство кого {Ручательство}
порцион - Количество продуктов {Количество}
порция - Количество кого {Количество}
поршень - Деталь двигателей {Деталь}
порыв - усиление (ветра {усиление}
порядок - Состояние налаженности {Состояние}
посадник - Наместник князя {Наместник}
посадничество - Должность посадника {Должность}
посвист - свист кого {свист}
поскачка - Бег борзой {Бег}
посконь - особь конопли {особь}
послабление - Снижение требовательности {Снижение}
посланница - Жена посланника {Жена}
постничество - Соблюдение постов {Соблюдение}
постпозиция - Положение какого {Положение}
постромки - Ремни (веревки {Ремни}
потенциал - Величина запаса {Величина}
потеря - Лишение чего {Лишение}
потолок - покрытие помещения {покрытие}
потроха - Внутренности животных {Внутренности}
потуги - сокращение мышц {сокращение}
поход - Передвижение какого {Передвижение}
почасовик - работа часов {работа}
почвообразование - Процесс образования {Процесс}
почвоутомление - Истощение почвы {Истощение}
почести - выражение уважения {выражение}
почесуха - Заболевание кожи {Заболевание}
почка - Зачаток побега {Зачаток}
почки - орган образования {орган}
почта - Учреждение связи {Учреждение}
почтамт - учреждение города {учреждение}
почтмейстерша - Жена почтмейстера {Жена}
пощада - Проявление сострадания {Проявление}
поэтика - Раздел теории {Раздел}
прабабушка - Мать деда {Мать}
правленец - Член правления {Член}
правнук - Сын внука {Сын}
правнучата - Правнуки правнучки {Правнуки}
правнучка - Дочь внука {Дочь}
право - Совокупность законов {Совокупность}
правобережье - берег реки {берег}
правоведение - Совокупность наук {Совокупность}
правонарушение - Нарушение права {Нарушение}
правописание - система правил {система}
правосознание - Совокупность взглядов {Совокупность}
правота - Правильность суждений {Правильность}
правщик - Работник типографии {Работник}
прагматика - Раздел семиотики {Раздел}
прагматист - Последователь прагматизма {Последователь}
прадед - Отец деда {Отец}
празднество - празднование чего {празднование}
праздник - День игр {День}
практика - совокупность приемов {совокупность}
прапрабабушка - Мать прадеда {Мать}
праправнук - Сын правнука {Сын}
праправнучка - Дочь правнука {Дочь}
прапрадед - Отец прадеда {Отец}
прародина - место обитания {место}
прасольство - Занятие прасола {Занятие}
прах - частицы чего {частицы}
пращур - предок родоначальник {предок}
превосходительство - титулование лиц {титулование}
предикативность - Наличие предиката {Наличие}
предмет - явление действительности {явление}
предназначение - назначение кому {назначение}
предопределенность - силой обстоятельств {силой}
предпринимательство - Деятельность предпринимателя {Деятельность}
предрасположение - Наличие каких {Наличие}
председательство - Исполнение обязанностей {Исполнение}
предсердие - отделов сердца {отделов}
представительство - Наличие представителей {Наличие}
предчувствие - чувство тревоги {чувство}
предшественник - деятельность кого {деятельность}
преемство - переход чего {переход}
преизбыток - избыток чего {избыток}
прейскурант - Справочник цен {Справочник}
прелиминарии - переговоры соглашения {переговоры}
премьер-министр - Глава правительства {Глава}
прения - Обсуждение какого {Обсуждение}
преосвященный - Титул епископа {Титул}
преосвященство - Титулование епископа {Титулование}
препинание - Знаки препинания# {Знаки}
преподавательство - Занятие преподавателя {Занятие}
преподобие - Титулование священника {Титулование}
препозиция - Положение какого {Положение}
пресвитерианство - Вероисповедание пресвитериан {Вероисповедание}
пресс-служба - Отдел сбора {Отдел}
престол - Трон монарха {Трон}
престолонаследие - Порядок наследования {Порядок}
престолонаследник - Наследник престола {Наследник}
преткновение - Камень преткновения# {Камень}
претор - титул консулов {титул}
преторианцы - охрана полководца {охрана}
префект - наименование ряда {наименование}
преференции - Преимущества льготы {Преимущества}
префиксация - Способ образования {Способ}
преходимость - характер чего {характер}
прибой - берег волны {берег}
прибор - устройство оборудования {устройство}
приборостроение - Отрасль машиностроения {Отрасль}
привередничество - Поведение того {Поведение}
приветствие - обращение (слова {обращение}
привидение - Призрак человека {Призрак}
привкус - вкус чего {вкус}
приворот - представлениямспособ привлечения {представлениямспособ}
привязанность - Чувство близости {Чувство}
пригарь - Привкус дыма {Привкус}
приживаемость - Способность организма {Способность}
призер - Участник состязания {Участник}
признательность - Чувство благодарности {Чувство}
призрак - Образ кого {Образ}
прииск - Место разработки {Место}
приискатель - Работник прииска {Работник}
приказ - распоряжение органа {распоряжение}
приказчик - служащий помещика {служащий}
приклад - конец ложа {конец}
прикус - Положение зубов {Положение}
прикуска - Порок лошади {Порок}
прилив - подъем уровня {подъем}
приличие - Соблюдение правил {Соблюдение}
прима - ступень звукоряда {ступень}
применимость - Возможность применения {Возможность}
применяемость - Наличие применения {Наличие}
примиренец - Сторонник примиренчества {Сторонник}
принужденность - Отсутствие простоты {Отсутствие}
принц - Титул члена {Титул}
принцип - положение какой {положение}
приовражье - Участок земли {Участок}
припадок - проявление чего {проявление}
приплод - Прибыль потомства {Прибыль}
приполок - поле рубашки {поле}
приросток - побег растения {побег}
прислуга - работница служанка {работница}
приспособленчество - Поведение приспособленца {Поведение}
пристук - такт чему {такт}
пристяжка - запряжки лошади {запряжки}
приток - Поступление жидкости {Поступление}
притяжение - явление тяготения {явление}
прихлебательство - Поведение прихлебателя {Поведение}
причастник - Участник чего {Участник}
причинность - связь явлений {связь}
прищипка - Удаление верхушки {Удаление}
проблематика - Совокупность проблем {Совокупность}
прободение - повреждение стенки {повреждение}
провиант - Продовольствие продукты {Продовольствие}
провизия - продукты продовольствие {продукты}
провинциал - Житель провинции {Житель}
провинциализм - Взгляды привычки {Взгляды}
проводимость - Способность вещества {Способность}
прогресс - Направление развития {Направление}
прогрессист - Сторонник прогресса {Сторонник}
прогрессия - ряд чисел {ряд}
продовольствие - Предметы питания {Предметы}
продувка - Очистка (какого {Очистка}
продукт - Предмет питания {Предмет}
продукция - Совокупность продуктов {Совокупность}
проект - план сооружения {план}
прожигатель - Прожигатель жизни# {Прожигатель}
проигрыш - исход игры {исход}
произношение - Воспроизведение звуков {Воспроизведение}
пройдоха - делах человек {делах}
прокат - Предоставление чего {Предоставление}
прокатка - Обработка металла {Обработка}
прокламация - Провозглашение обнародование {Провозглашение}
проклятие - осуждение кого {осуждение}
проконсул - Наместник провинции {Наместник}
прокурорство - Должность прокурора {Должность}
пролетаризация - условиях капитализма {условиях}
пролетарий - рабочий силы {рабочий}
пролонгация - Продление срока {Продление}
проминка - Вождение (лошади {Вождение}
промфинплан - план предприятия {план}
пропеллер - силу тяги {силу}
прописка - оформление проживания {оформление}
проповедник - Распространитель какого {Распространитель}
проповедничество - Деятельность проповедника {Деятельность}
пропорция - соотношение частей {соотношение}
прораб - Производитель работ {Производитель}
проросток - Стебель растения {Стебель}
прорость - Порок древесины {Порок}
просветительство - Деятельность просветителя {Деятельность}
просодия - Система произношения {Система}
просол - Качество засола {Качество}
простак - человек актера {человек}
простатит - Воспаление простаты {Воспаление}
простуда - Охлаждение организма {Охлаждение}
просып - просыпу Первенцев {просыпу}
просянка - птица отряда {птица}
протекционизм - политика государства {политика}
протекционист - Сторонник протекционизма {Сторонник}
протестант - Последователь протестантизма {Последователь}
противопоказание - показание кого {показание}
противостояние - Положение планеты {Положение}
протозоология - Раздел зоологии {Раздел}
протоистория - период жизни {период}
проток - Ответвление русла {Ответвление}
протоколизм - стиль изложения {стиль}
протон - частица вещества {частица}
протоплазма - Вещество животных {Вещество}
профан - области человек {области}
профанация - Искажение чего {Искажение}
профессионализм - Занятие чем {Занятие}
профессия - деятельности занятий {деятельности}
профессорство - Занятие профессора {Занятие}
профессорша - Жена профессора {Жена}
профилактика - Совокупность мероприятий {Совокупность}
проходимость - Доступность чего {Доступность}
процедура - последовательность действий {последовательность}
процесс - смена каких {смена}
прошествие - прошествии времени {прошествии}
прыжок - перемещение тела {перемещение}
прядь - Пучок волос {Пучок}
прямодушие - Отсутствие лицемерия {Отсутствие}
псина - мясо собаки {мясо}
психастения - расстройство психики {расстройство}
психиатрия - Раздел медицины {Раздел}
психоанализ - Метод психотерапии {Метод}
психогигиена - Раздел гигиены {Раздел}
психопатология - Раздел медицины {Раздел}
психофизика - Раздел психологии {Раздел}
псица - Самка собаки {Самка}
птенец - Детеныш птицы {Детеныш}
птицеловство - Ловля птиц {Ловля}
пуантилизм - манера живописи {манера}
пуд - мера веса {мера}
пульверизация - Распыление жидкости {Распыление}
пулька - Партия игры {Партия}
пульпит - Воспаление пульпы {Воспаление}
пульс - колебания стенок {колебания}
пунктуация - Система расстановки {Система}
пункция - Прокол какой {Прокол}
пуночка - птица отряда {птица}
пурист - Сторонник пуризма {Сторонник}
пустошь - участок земли {участок}
пустынножительство - Жизнь пустынножителя {Жизнь}
путч - попытка группы {попытка}
путь - Полоса земли {Полоса}
пушинка - частица чего {частица}
пушнина - Шкуры животных {Шкуры}
пуэрториканцы - население Пуэрто {население}
пчела - Насекомое отряда {Насекомое}
пшют - Хлыщ фат {Хлыщ}
пылеулавливание - Очистка воздуха {Очистка}
пылинка - Частица пыли {Частица}
пылища - количество пыли {количество}
пыльник - Плащ пальто {Плащ}
пыльца - Совокупность пылинок {Совокупность}
пэ - буквы «п {буквы}
пэр - Звание представителей {Звание}
пэрство - Звание пэра {Звание}
пядь - мера длины {мера}
пятерик - мера (счета {мера}
пятерня - Кисть руки {Кисть}
пятидесятилетие - Промежуток времени {Промежуток}
пятидневка - Промежуток времени {Промежуток}
пятилетие - Промежуток времени {Промежуток}
пятисотлетие - Промежуток времени {Промежуток}
рабфаковец - Учащийся рабфака {Учащийся}
раввин - Служитель культа {Служитель}
равновесие - Состояние неподвижности {Состояние}
радикал - Сторонник радикализма {Сторонник}
радикал - действие извлечения {действие}
радикулит - Воспаление корешков {Воспаление}
радиоастрономия - Раздел астрономии {Раздел}
радиография - метод обнаружения {метод}
радиология - Область медицины {Область}
радиолюбительство - Занятие любителей {Занятие}
радиометрия - Раздел физики {Раздел}
радиопередача - Передача чего {Передача}
радиотрансляция - Передача радиопрограмм {Передача}
радиофизика - Область физики {Область}
радиофикация - Развитие сети {Развитие}
радиохимия - Область химии {Область}
радиоцентр - Комплекс сооружений {Комплекс}
радиоэлектроника - совокупности ряда {совокупности}
радиус - Отрезок прямой {Отрезок}
радость - Чувство удовольствия {Чувство}
радуница - обычай поминания {обычай}
разведданные - Данные разведки {Данные}
разверстка - распределение кого {распределение}
разгильдяй - делах человек {делах}
разгром - поражение кого {поражение}
разлад - Отсутствие единства {Отсутствие}
размер - Величина чего {Величина}
разнобой - Отсутствие согласованности {Отсутствие}
разновес - Набор гирь {Набор}
разногласие - Отсутствие согласия {Отсутствие}
разноцветье - Разнообразие цветов {Разнообразие}
разночтение - Вариант какой {Вариант}
разочарование - Чувство неудовлетворенности {Чувство}
разряд - Группа род {Группа}
разум - деятельность человека {деятельность}
разумение - Постижение смысла {Постижение}
разъединенность - Отсутствие связи {Отсутствие}
райзо - Сокращение слов {Сокращение}
районо - Сокращение слов {Сокращение}
ракетостроение - Отрасль промышленности {Отрасль}
ракитник - кустарник заросли {кустарник}
рамоли","рамолик - слабоумие человек {слабоумие}
ранг - Степень отличия {Степень}
ранжир - Построение людей {Построение}
рант - полоска кожи {полоска}
раса - группа людей {группа}
расист - Сторонник расизма {Сторонник}
раскольник - Участник раскола {Участник}
раскомандировка - Распределение рабочих {Распределение}
расоведение - Раздел антропологии {Раздел}
распев - принцип строения {принцип}
расправа - применение силы {применение}
распутство - образ жизни {образ}
рассвет - Время суток {Время}
рассоление - Устранение засоления {Устранение}
расстройство - Состояние упадка {Состояние}
растворимость - Способность вещества {Способность}
растительность - Совокупность растений {Совокупность}
расточительство - трата чего {трата}
расцвет - Появление цветков {Появление}
ратман - Член органа {Член}
раунд - Промежуток времени {Промежуток}
рахитизм - Совокупность признаков {Совокупность}
рационализаторство - Деятельность рационализатора {Деятельность}
рационализация - Организация какой {Организация}
рационалист - Последователь рационализма {Последователь}
рвота - извержение содержимого {извержение}
реабилитация - Восстановление здоровья {Восстановление}
реаниматология - Раздел медицины {Раздел}
реанимация - Совокупность мероприятий {Совокупность}
рев - крик человека {крик}
реваншист - Сторонник реваншизма {Сторонник}
реверс - сторона медали {сторона}
реверсирование - Изменение направления {Изменение}
ревизионист - Последователь ревизионизма {Последователь}
регент - правитель государства {правитель}
регресс - Направление развития {Направление}
редукция - ние гласных {ние}
режиссер - руководитель спектакля {руководитель}
резервация - Сохранение чего {Сохранение}
резервист - военнообязанный резерва {военнообязанный}
резинка - Кусочек резины {Кусочек}
резонанс - Явление усиления {Явление}
резус - Обезьяна рода {Обезьяна}
резьба - обработка дерева {обработка}
резюме - изложение сути {изложение}
реинфекция - заражение организма {заражение}
рейтар - Солдат кавалерии {Солдат}
река - поток кого {поток}
реквизит - Совокупность вещей {Совокупность}
рекостав - Время замерзания {Время}
ректификация - Способ разделения {Способ}
ректор - Руководитель университета {Руководитель}
рекультивация - Восстановление плодородия {Восстановление}
реликвия - предмет почитания {предмет}
релятивист - Последователь релятивизма {Последователь}
ремарка - Замечание пометка {Замечание}
ремень - Полоса кожи {Полоса}
ремилитаризация - Вооружение государства {Вооружение}
ремиссия - ослабление проявлений {ослабление}
ремонт - Исправление повреждений {Исправление}
ремонт - Пополнение стада {Пополнение}
ренонс - отсутствие какой {отсутствие}
